section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,away_sp_factor,home_sp_factor,away_bp_factor,home_bp_factor,venue,temp_f,wind_mph,wind_dir,weather_factor,away_stars_present,home_stars_present,away_missing_stars,home_missing_stars,away_lineup_factor,home_lineup_factor,away_runs_proj,home_runs_proj,total_proj,pick_8.5,pick_9.0,pick_9.5,kelly_line,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,status_reason,total_runs,result_8.5,result_9.0,result_9.5
backfill,2026-04-30,STL,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-04-30,SF,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-30,SF,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-04-30,COL,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,OVER,OVER,OVER
backfill,2026-04-30,WSH,NYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-30,AZ,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,OVER,OVER,OVER
backfill,2026-04-30,KC,ATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-30,TOR,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-29,TB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,UNDER,UNDER,UNDER
backfill,2026-04-29,LAA,CWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-29,SEA,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-29,NYY,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-04-29,BOS,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-29,MIA,LAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-29,CHC,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-29,COL,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-04-29,STL,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-29,WSH,NYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,OVER,OVER,OVER
backfill,2026-04-29,DET,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-04-29,AZ,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-29,KC,ATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-04-28,TB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UNDER,UNDER,UNDER
backfill,2026-04-28,HOU,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-28,COL,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-28,STL,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,OVER,OVER,OVER
backfill,2026-04-28,SF,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-04-28,BOS,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-04-28,WSH,NYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-28,DET,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-04-28,SEA,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-28,LAA,CWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
