section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,f1_total_proj,nrfi_prob,yrfi_prob,nrfi_pick,model_prob,fair_odds_dec,kelly_pct,kelly_advice,status_reason,f1_away,f1_home,f1_total,nrfi_yrfi
backfill,2026-04-24,SEA,STL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,CHC,LAD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,MIA,SF,,,,,,,,,,,,,,3,0,3,YRFI
backfill,2026-04-23,ATL,WSH,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-23,MIL,DET,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-23,PHI,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-23,SD,COL,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-23,CWS,AZ,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-23,LAD,SF,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-23,NYY,BOS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-23,MIN,NYM,,,,,,,,,,,,,,1,3,4,YRFI
backfill,2026-04-23,PIT,TEX,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-22,STL,MIA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-22,HOU,CLE,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-22,CIN,TB,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-22,BAL,KC,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-22,TOR,LAA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-22,ATH,SEA,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-22,MIL,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-22,ATL,WSH,,,,,,,,,,,,,,1,4,5,YRFI
backfill,2026-04-22,NYY,BOS,,,,,,,,,,,,,,3,0,3,YRFI
backfill,2026-04-22,MIN,NYM,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-22,PHI,CHC,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-22,PIT,TEX,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-22,SD,COL,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-22,CWS,AZ,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-22,LAD,SF,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,HOU,CLE,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-21,CIN,TB,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-21,STL,MIA,,,,,,,,,,,,,,1,1,2,YRFI
backfill,2026-04-21,MIL,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,ATL,WSH,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-21,NYY,BOS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,MIN,NYM,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,BAL,KC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,PHI,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,PIT,TEX,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-21,SD,COL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,TOR,LAA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-21,ATH,SEA,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-21,CWS,AZ,,,,,,,,,,,,,,4,0,4,YRFI
backfill,2026-04-21,LAD,SF,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-20,DET,BOS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-20,HOU,CLE,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-20,CIN,TB,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-20,STL,MIA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-20,ATL,WSH,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-20,BAL,KC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-20,PHI,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-20,LAD,COL,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-20,TOR,LAA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-20,ATH,SEA,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-19,SF,WSH,,,,,,,,,,,,,,0,0,0,NRFI
