game,market,side,american,decimal,book,vig_free_pct
LAD @ HOU,moneyline,LAD,-205,1.4878,fanduel,64.6%
LAD @ HOU,moneyline,HOU,+172,2.72,fanduel,35.4%
LAD @ HOU,run_line,HOU +1.5,+100,2.0,fanduel,
LAD @ HOU,run_line,LAD -1.5,-120,1.8333,fanduel,
LAD @ HOU,totals,OVER 8.5,-108,1.9259,fanduel,49.6%
LAD @ HOU,totals,UNDER 8.5,-112,1.8929,fanduel,50.4%
NYM @ COL,moneyline,NYM,-172,1.5814,fanduel,60.7%
NYM @ COL,moneyline,COL,+144,2.44,fanduel,39.3%
NYM @ COL,run_line,COL +1.5,-111,1.9009,fanduel,
NYM @ COL,run_line,NYM -1.5,-108,1.9259,fanduel,
NYM @ COL,totals,OVER 10.0,-105,1.9524,fanduel,48.9%
NYM @ COL,totals,UNDER 10.0,-115,1.8696,fanduel,51.1%
PIT @ AZ,moneyline,PIT,+110,2.1,fanduel,45.7%
PIT @ AZ,moneyline,AZ,-130,1.7692,fanduel,54.3%
PIT @ AZ,run_line,AZ -1.5,+160,2.6,fanduel,
PIT @ AZ,run_line,PIT +1.5,-194,1.5155,fanduel,
PIT @ AZ,totals,OVER 9.0,-105,1.9524,fanduel,48.9%
PIT @ AZ,totals,UNDER 9.0,-115,1.8696,fanduel,51.1%
ATL @ SEA,moneyline,ATL,+130,2.3,fanduel,41.8%
ATL @ SEA,moneyline,SEA,-154,1.6494,fanduel,58.2%
ATL @ SEA,run_line,ATL +1.5,-172,1.5814,fanduel,
ATL @ SEA,run_line,SEA -1.5,+142,2.42,fanduel,
